REC,BPM,Reliability,SNR,SIR,Accuracy,Se,PPV,F1
a01,154.44,0.2446,-10.52,-23.21,42.50,58.62,60.71,59.65
a02,119.67,0.2874,-15.45,-27.47,11.21,15.62,28.41,20.16
a03,129.94,0.9297,-2.05,-7.40,99.22,100.00,99.22,99.61
a04,130.01,0.9609,6.86,-0.16,100.00,100.00,100.00,100.00
a05,129.52,0.9845,3.43,-0.16,97.71,99.22,98.46,98.84
a06,135.01,0.1446,-19.53,-31.66,17.87,23.12,44.05,30.33
a07,131.37,0.0678,-15.02,-23.23,6.74,9.23,20.00,12.63
a08,130.89,0.7778,-0.52,-0.05,77.08,86.72,87.40,87.06
a09,117.70,0.3258,-10.98,-25.65,8.91,13.85,20.00,16.36
a10,144.43,0.1429,-13.64,-25.70,33.95,41.71,64.60,50.69
a11,128.91,0.1842,-17.30,-29.63,11.28,15.71,28.57,20.28
a12,137.18,0.9706,-1.96,-7.53,99.28,99.28,100.00,99.64
a13,125.94,1.0000,-0.36,-10.55,100.00,100.00,100.00,100.00
a14,131.67,0.7717,-4.78,-8.12,80.58,91.06,87.50,89.24
a15,128.40,0.6917,-1.58,0.77,66.67,76.12,84.30,80.00
a16,129.83,0.2055,-14.06,-23.78,10.27,14.62,25.68,18.63
a17,132.47,0.5124,-2.29,-0.07,53.94,67.42,72.95,70.08
a18,126.37,0.1837,-16.94,-30.14,9.69,14.67,22.22,17.67
a19,130.99,0.9070,-1.51,-8.42,88.97,95.28,93.08,94.16
a20,133.97,0.9466,0.66,-9.00,94.81,97.71,96.97,97.34
a21,145.53,0.2520,-13.45,-24.81,29.33,42.07,49.19,45.35
a22,125.35,1.0000,5.36,0.56,100.00,100.00,100.00,100.00
a23,126.16,0.9758,0.08,-8.25,97.64,98.41,99.20,98.80
a24,123.15,1.0000,2.99,-8.12,100.00,100.00,100.00,100.00
a25,125.24,0.9593,-0.06,-8.39,96.06,97.60,98.39,97.99
